"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bhutan","BTN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3102001","4.85067181","4.45450623","4.00759189","4.46518963","4.01964203","4.29156698","4.02999356","3.30091976","3.46146147","3.47362099","3.26993864","3.53426234","3.62130797","3.46894211","3.65892296","3.45418055","","","",
"Botswana","BWA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.81746631","6.58709992","4.74430497","5.78467497","6.22927421","5.26284678","5.00414503","5.25331187","5.71637698","6.74577338","6.0187303","6.29967125","6.48440961","5.39956098","5.30536553","5.96507028","5.46320154","","","",
"Central African Republic","CAF","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.99260326","4.14760574","4.56579243","4.61035911","4.19610652","4.76289313","4.46036383","4.77105972","4.02206895","4.34508499","3.74203272","3.82265913","3.87415262","4.84334549","4.85324878","6.30899109","4.28252151","","","",
"Canada","CAN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.27570121","8.6552998","8.88823837","9.04280641","9.09724312","9.06438659","9.20660398","9.29805095","9.46493194","10.5739279","10.55578315","10.23029303","10.24045785","10.13275665","9.96972621","10.37650812","10.53465477","","","",
"Central Europe and the Baltics","CEB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.70558831460943","5.9095513731945","6.16190653844196","6.38270975870953","6.35881478239337","6.35808635445222","6.22161293810451","6.13726434793108","6.38052914462237","6.85875914364304","6.80758860142113","6.53643283362182","6.54847176824538","6.71464348568107","6.5852421351689","6.56077311915035","6.67777416980932","","","",
"Switzerland","CHE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.84356578","10.23142167","10.64117739","10.93651134","11.00394168","10.8219693","10.21397824","10.01601134","10.15153957","10.80916","10.69854306","10.76850557","11.05786041","11.31378981","11.4943653","11.89380635","12.24760438","","","",
"Channel Islands","CHI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.03517653","7.15104141","7.26602369","7.3333044","6.90114757","6.58871514","6.0351678","6.17537454","6.74047957","7.20918362","6.77489384","6.771789","7.02092081","7.44478367","7.80602661","8.29995557","8.52893972","","","",
"China","CHN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.47341372","4.21248348","4.34347862","4.38032391","4.25689544","4.14221514","3.91870987","3.65868461","3.87722767","4.32182388","4.20799171","4.32551324","4.549399","4.71002249","4.77322745","4.88872272","4.98188075","","","",
"Cote d'Ivoire","CIV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.67222788","4.85069361","4.47686869","4.64530601","5.21358812","5.3535558","5.80885012","6.2591541","6.12160449","6.22332889","6.14656571","5.97884029","6.01966007","5.07494225","5.04346217","5.26271074","4.40362075","","","",
"Cameroon","CMR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.98234822","4.18255225","4.3510747","4.41482643","4.0504169","4.14209544","4.10265315","4.16005531","4.39934418","4.32968175","4.5039171","3.398842","4.54202158","4.50318004","4.53427929","4.69952298","4.6902491","","","",
"Congo, Dem. Rep.","COD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.57238174","2.72973283","2.6767524","3.84015653","4.44226491","4.27463655","4.45607982","4.44069383","5.14113002","4.64417372","4.01927698","3.43164138","3.56752988","3.56509235","3.97941198","3.9869163","3.87116143","","","",
"Congo, Rep.","COG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.69392456","2.37584221","1.87626667","2.11587856","2.10554645","1.87587189","1.78239931","2.24364157","2.55324653","2.2214418","1.98057464","1.85153641","2.47433199","2.48846715","2.50741981","3.41535064","4.63481785","","","",
"Colombia","COL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4769317","5.56101361","5.36520046","5.6840998","5.17538681","5.52796211","5.77809346","5.76738502","6.03380973","6.39557747","6.25592621","5.79617882","5.68462271","5.81053737","5.80630699","6.0226695","5.91234407","","","",
"Comoros","COM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.24934652","10.94349543","10.96610977","10.33469623","10.32729373","9.8681874","9.71064849","9.35156869","8.9874242","8.57702449","8.52293619","9.09870956","7.94528634","7.78423737","7.59488902","7.68427435","7.63108978","","","",
"Cabo Verde","CPV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.43401194","4.75244355","4.75569435","4.50008628","4.37710666","4.27364095","4.48974972","4.18900156","3.58313537","3.88152912","4.47556163","4.30527433","5.08776221","5.24587932","5.28356233","5.31378574","5.23696219","","","",
"Costa Rica","CRI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.59314299","6.50019625","6.90020818","6.99989289","6.65927276","6.69515948","6.96992493","7.03324129","7.51461349","7.9073468","8.11340128","8.08732839","7.75122422","7.67780718","7.80327592","7.78042454","7.55572353","","","",
"Caribbean small states","CSS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.81818568593221","4.6199112886745","4.79232269046287","4.68863014066649","4.9869705800855","4.7927338218514","4.88084553113841","4.91921184313089","4.75119925592092","5.55713899521301","5.41549615524299","5.26787540080431","5.35409625951575","5.4974947057189","5.52321425136341","5.95329440021884","6.12892649519589","","","",
"Cuba","CUB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.58082967","6.97944519","7.11155879","7.09771076","6.82610737","8.75385175","8.27164137","10.96638176","11.31446824","12.29017512","10.68762349","11.3128656","9.29862453","10.4306951","12.14082739","12.78461066","12.19122021","","","",
"Curacao","CUW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.31196586","5.34238735","5.61591572","5.53012386","5.28464825","5.28617016","5.3085","5.19121611","6.01929897","6.46461028","6.27779476","6.59137905","6.68578788","6.9036741","6.78616827","6.8085447","6.87966475","","","",
"Czech Republic","CZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.71755317","5.88764748","6.19887241","6.55446573","6.38547255","6.38101044","6.19553143","6.01604855","6.35973328","7.29290504","6.92806211","6.97689183","7.02843525","7.8066952","7.65308523","7.24275683","7.14959908","","","",
"Germany","DEU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.82754385","9.86402734","10.10958272","10.33178985","10.07623468","10.22530706","10.11344406","9.96852656","10.15493376","11.13743151","11.0039689","10.71509959","10.76729532","10.91510275","10.95738405","11.07906625","11.13916763","","","",
"Djibouti","DJI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1253036","3.94019625","5.03592168","5.58189947","4.66613397","4.52727705","4.89260073","4.79323895","4.47885684","4.51186996","4.29711004","4.73829396","4.63176867","4.09869831","4.13814365","4.38930145","3.50192451","","","",
"Dominica","DMA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.12931806","5.223328","5.34098516","5.27230132","5.15229974","5.24445266","5.24618724","5.37814195","5.49472914","5.74783559","5.60128406","5.71225311","5.87236836","5.43430873","5.48942884","5.45513319","5.30393975","","","",
"Denmark","DNK","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1043807","8.4483269","8.70251179","8.90363048","9.00743094","9.0905709","9.16879674","9.32515549","9.51134351","10.67431683","10.33315757","10.15290857","10.24135399","10.16958128","10.17190456","10.27382498","10.35004017","","","",
"Dominican Republic","DOM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.88427497","4.88183301","4.98649017","4.38888279","4.28767555","4.35398197","3.99365784","4.20737005","4.72508234","5.08703423","5.58233888","5.67143533","5.88949284","5.82878304","5.92203373","6.04389175","6.16130052","","","",
"Algeria","DZA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.48903279","3.83787696","3.73004148","3.60104113","3.54407306","3.23516117","3.35510349","3.82141758","4.2018824","5.35939829","5.11716993","5.26748086","6.00050994","6.03576267","6.54721401","6.98289165","6.648475","","","",
"East Asia & Pacific (excluding high income)","EAP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.95858443136446","3.85435631568349","3.91372050721803","3.97969480215434","3.88825877646449","3.8811865089956","3.73366977229852","3.5674602261077","3.73145978055919","4.12697169948969","4.03218641326018","4.13813886618252","4.34158318572918","4.49895101835958","4.59327052691345","4.70019194754754","4.77776300866843","","","",
"Early-demographic dividend","EAR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.79616095474309","5.0365806074964","4.76840006264299","4.88872209681561","4.83268505760099","4.80700756658351","4.75315890667541","4.75242733315306","4.68760958796284","5.09587520284953","4.91775847808741","4.85584561119397","4.90133881525133","4.97332113623907","5.04817060150383","5.1180212416608","4.99011287136104","","","",
"East Asia & Pacific","EAS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.18597344756513","6.22903574260834","6.1972634283506","6.29429187881529","6.26737795158227","6.21993899978956","6.02332793496847","5.81622378778084","5.95808561067569","6.451528069411","6.33442574911356","6.75555607172754","6.81578698785148","6.5880363196257","6.53343381363457","6.48784823090297","6.63936819689084","","","",
"Europe & Central Asia (excluding high income)","ECA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.91261952158413","5.18534669299762","5.41752412513561","5.35750322046808","5.15668316288752","5.15371775064803","5.12271209845859","5.06755291525632","5.10352589981104","5.65315815475114","5.19735108681694","4.9033300810171","4.99965381608498","5.08095596231306","5.09383298225259","5.11494899112896","5.2137770105217","","","",
"Europe & Central Asia","ECS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.78036612313851","7.97995414164735","8.21089478334365","8.41973982844197","8.39132416046248","8.42982356610364","8.35986830269341","8.25348973267342","8.4509214400194","9.26769874913728","9.03879956244545","8.89847859968842","8.89189711044342","9.12197917392487","9.21912566461256","9.31151676653279","9.37772893166249","","","",
"Ecuador","ECU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.31528974","3.73755858","4.45758963","5.42486","5.55078448","5.57841353","5.68722197","5.86489023","5.81637673","6.43873295","7.12195655","7.86521816","8.47968249","8.55983433","8.62127454","8.58845682","8.38714107","","","",
"Egypt, Arab Rep.","EGY","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.92244279","5.40030332","5.51073784","5.22425289","4.85732371","4.92229169","4.84190073","4.44493251","4.46634813","4.37870946","4.1531917","4.35707557","4.55305428","4.6541604","4.69173709","4.62285691","4.63781726","","","",
"Euro area","EMU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.56589121840617","8.67452956811417","8.88228422063081","9.08733506617918","9.11085950087825","9.26659085056985","9.25951636635883","9.16241824843435","9.4573871225437","10.2030785185545","10.1658790539717","10.07515450938","10.1870120095462","10.2494831585326","10.2847162605408","10.2154782105893","10.2172690047366","","","",
"Eritrea","ERI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.51147622","4.6301811","5.30258703","5.67850091","5.42505764","5.31241649","5.30663629","4.08505054","3.89576269","4.3533527","3.44590245","4.20446097","2.96121577","2.91476339","2.93162431","2.96577289","2.95931347","","","",
"Spain","ESP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8160619","6.78313377","6.80292358","7.53018064","7.6191456","7.67640382","7.75518882","7.83671201","8.28895456","8.98877969","9.02200151","9.09120733","9.07564442","9.02537972","9.02414667","9.12012883","8.97038932","","","",
"Estonia","EST","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.16450828","4.78793591","4.73278255","4.88545255","5.09282518","4.9559168","4.91832188","5.02833942","5.75220945","6.54286643","6.33366564","5.82260813","5.82746739","6.00967838","6.20800935","6.48181399","6.68368438","","","",
"Ethiopia","ETH","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3652898","4.71366989","4.70581967","4.88534071","4.30456225","4.10098124","4.22669565","4.80192533","4.28063892","4.41247285","5.46637229","4.46897761","4.5395958","4.07506531","4.03365117","3.97593223","3.97401588","","","",
